string,x,y
1084,-640.0,381.1
1085,-600.0,381.1
1086,-560.0,381.1
1087,-520.0,381.1
1088,-480.0,381.1
1089,-440.0,381.1
1090,-400.0,381.1
1091,-360.0,381.1
1092,-320.0,381.1
1093,-280.0,381.1
1094,-240.0,381.1
1095,-200.0,381.1
1096,-160.0,381.1
1097,-120.0,381.1
1098,-80.0,381.1
1099,-40.0,381.1
1100,0.0,381.1
1101,40.0,381.1
1102,80.0,381.1
1103,120.0,381.1
1104,160.0,381.1
1105,200.0,381.1
1106,240.0,381.1
1107,280.0,381.1
1108,320.0,381.1
1109,360.0,381.1
1110,400.0,381.1
1111,440.0,381.1
1112,480.0,381.1
1113,520.0,381.1
1114,560.0,381.1
1115,600.0,381.1
1116,640.0,381.1
1117,680.0,381.1
1118,-620.0,415.7
1119,-580.0,415.7
1120,-540.0,415.7
1121,-500.0,415.7
1122,-460.0,415.7
1123,-420.0,415.7
1124,-380.0,415.7
1125,-340.0,415.7
1126,-300.0,415.7
1127,-260.0,415.7
1128,-220.0,415.7
1129,-180.0,415.7
1130,-140.0,415.7
1131,-100.0,415.7
1132,-60.0,415.7
1133,-20.0,415.7
1134,20.0,415.7
1135,60.0,415.7
1136,100.0,415.7
1137,140.0,415.7
1138,180.0,415.7
1139,220.0,415.7
1140,260.0,415.7
1141,300.0,415.7
1142,340.0,415.7
1143,380.0,415.7
1144,420.0,415.7
1145,460.0,415.7
1146,500.0,415.7
1147,540.0,415.7
1148,580.0,415.7
1149,620.0,415.7
1150,-600.0,450.3
1151,-560.0,450.3
1152,-520.0,450.3
1153,-480.0,450.3
1154,-440.0,450.3
1155,-400.0,450.3
1156,-360.0,450.3
1157,-320.0,450.3
1158,-280.0,450.3
1159,-240.0,450.3
1160,-200.0,450.3
1161,-160.0,450.3
1162,-120.0,450.3
1163,-80.0,450.3
1164,-40.0,450.3
1165,0.0,450.3
1166,40.0,450.3
1167,80.0,450.3
1168,120.0,450.3
1169,160.0,450.3
1170,200.0,450.3
1171,240.0,450.3
1172,280.0,450.3
1173,320.0,450.3
1174,360.0,450.3
1175,400.0,450.3
1176,440.0,450.3
1177,480.0,450.3
1178,520.0,450.3
1179,560.0,450.3
1180,600.0,450.3
1181,-580.0,485.0
1182,-540.0,485.0
1183,-500.0,485.0
1184,-460.0,485.0
1185,-420.0,485.0
1186,-380.0,485.0
1187,-340.0,485.0
1188,-300.0,485.0
1189,-260.0,485.0
1190,-220.0,485.0
1191,-180.0,485.0
1192,-140.0,485.0
1193,-100.0,485.0
1194,-60.0,485.0
1195,-20.0,485.0
1196,20.0,485.0
1197,60.0,485.0
1198,100.0,485.0
1199,140.0,485.0
1200,180.0,485.0
1201,220.0,485.0
1202,260.0,485.0
1203,300.0,485.0
1204,340.0,485.0
1205,380.0,485.0
1206,420.0,485.0
1207,460.0,485.0
1208,500.0,485.0
1209,540.0,485.0
1210,580.0,485.0
1211,-560.0,519.6
1212,-520.0,519.6
1213,-480.0,519.6
1214,-440.0,519.6
1215,-400.0,519.6
1216,-360.0,519.6
1217,-320.0,519.6
1218,-280.0,519.6
1219,-240.0,519.6
1220,-200.0,519.6
1221,-160.0,519.6
1222,-120.0,519.6
1223,-80.0,519.6
1224,-40.0,519.6
1225,0.0,519.6
1226,40.0,519.6
1227,80.0,519.6
1228,120.0,519.6
1229,160.0,519.6
1230,200.0,519.6
1231,240.0,519.6
1232,280.0,519.6
1233,320.0,519.6
1234,360.0,519.6
1235,400.0,519.6
1236,440.0,519.6
1237,480.0,519.6
1238,520.0,519.6
1239,560.0,519.6
1240,-540.0,554.3
1241,-500.0,554.3
1242,-460.0,554.3
